test_campaign,variation,device_category,item_category,item_name,transaction_id,users,purchases,quantity,revenue,gross_revenue,net_revenue,gross_margin
[1485180] DE #35 | Category Page | Mattresses' Product Cards Order,[0] Original,mobile,Mattress,Emma Elite 27 AirGrid+ Matratze - Emma Elite Matratze,0001-8XTUYC,1,1,2,2780,2780,2230,1684
[1485180] DE #35 | Category Page | Mattresses' Product Cards Order,[0] Original,mobile,Mattress,Emma Elite 27 AirGrid+ Matratze - Emma Elite Matratze,0001-Q5PDLQ,1,1,2,2780,2780,2243,1712
[1485180] DE #35 | Category Page | Mattresses' Product Cards Order,[0] Original,mobile,Mattress,Emma Elite 27 AirGrid+ Matratze - Emma Elite Matratze,0001-GAL8P2,1,1,4,2520,2520,2030,1509
[1485180] DE #35 | Category Page | Mattresses' Product Cards Order,[0] Original,mobile,Mattress,Emma Elite 27 AirGrid+ Matratze - Emma Elite Matratze,0001-G6UZC2,1,1,2,2194,2194,1758,1253
[1485180] DE #35 | Category Page | Mattresses' Product Cards Order,[0] Original,desktop,Mattress,Emma 25 Flip+ Matratze - Emma Classic Matratzen,0001-YRGQXE,1,1,7,1960,1960,1517,698
[1485180] DE #35 | Category Page | Mattresses' Product Cards Order,[0] Original,mobile,Mattress,Emma Elite 27 AirGrid+ Matratze - Emma Elite Matratze,0001-V9MQZ7,1,1,2,1938,1938,1540,1071
[1485180] DE #35 | Category Page | Mattresses' Product Cards Order,[0] Original,desktop,Mattress,Emma Elite 27 AirGrid+ Matratze - Emma Elite Matratze,0001-PP7V9P,1,1,2,1919,1919,1528,1129
[1485180] DE #35 | Category Page | Mattresses' Product Cards Order,[0] Original,mobile,Mattress,Emma Elite 27 AirGrid+ Matratze - Emma Elite Matratze,0001-3B3LGS,1,1,1,1590,1590,1265,865
[1485180] DE #35 | Category Page | Mattresses' Product Cards Order,[0] Original,mobile,Mattress,Emma Elite 27 AirGrid+ Matratze - Emma Elite Matratze,0001-Q4QLZY,1,1,1,1590,1590,1263,838
[1485180] DE #35 | Category Page | Mattresses' Product Cards Order,[0] Original,mobile,Mattress,Emma Elite 27 AirGrid+ Matratze - Emma Elite Matratze,0001-2U7CMJ,1,1,1,1590,1590,1281,990
[1485180] DE #35 | Category Page | Mattresses' Product Cards Order,[0] Original,mobile,Mattress,Emma Elite 27 AirGrid+ Matratze - Emma Elite Matratze,0001-H37MJW,1,1,1,1590,1590,1283,992
[1485180] DE #35 | Category Page | Mattresses' Product Cards Order,[0] Original,mobile,Mattress,Emma Elite 27 AirGrid+ Matratze - Emma Elite Matratze,0001-D3GW7A,1,1,1,1590,1590,1265,839
[1485180] DE #35 | Category Page | Mattresses' Product Cards Order,[0] Original,desktop,Mattress,Emma Elite 27 AirGrid+ Matratze - Emma Elite Matratze,0001-5JQSUY,1,1,1,1510,1510,1202,814
[1485180] DE #35 | Category Page | Mattresses' Product Cards Order,[0] Original,mobile,Mattress,Emma Elite 27 AirGrid+ Matratze - Emma Elite Matratze,0001-H25J6E,1,1,1,1510,1510,1218,931
[1485180] DE #35 | Category Page | Mattresses' Product Cards Order,[0] Original,mobile,Mattress,Emma Elite 27 AirGrid+ Matratze - Emma Elite Matratze,0001-38PAX3,1,1,1,1510,1510,1209,820
[1485180] DE #35 | Category Page | Mattresses' Product Cards Order,[0] Original,mobile,Mattress,Emma Elite 27 AirGrid+ Matratze - Emma Elite Matratze,0001-2SGAE3,1,1,1,1510,1510,1211,924
[1485180] DE #35 | Category Page | Mattresses' Product Cards Order,[0] Original,mobile,Mattress,Emma Elite 27 AirGrid+ Matratze - Emma Elite Matratze,0001-8WLQT8,1,1,1,1510,1510,1212,925
[1485180] DE #35 | Category Page | Mattresses' Product Cards Order,[0] Original,desktop,Mattress,Emma Elite 27 AirGrid+ Matratze - Emma Elite Matratze,0001-ZH6FC8,1,1,1,1510,1510,1210,922
[1485180] DE #35 | Category Page | Mattresses' Product Cards Order,[0] Original,desktop,Mattress,Emma Elite 27 AirGrid+ Matratze - Emma Elite Matratze,0001-WJFNC4,1,1,1,1431,1431,1145,770
[1485180] DE #35 | Category Page | Mattresses' Product Cards Order,[0] Original,mobile,Mattress,Emma Elite 27 AirGrid+ Matratze - Emma Elite Matratze,0001-XWH6DA,1,1,1,1431,1431,1147,772
[1485180] DE #35 | Category Page | Mattresses' Product Cards Order,[0] Original,desktop,Mattress,Emma Elite 27 AirGrid+ Matratze - Emma Elite Matratze,0001-7TARPE,1,1,1,1431,1431,1146,877
[1485180] DE #35 | Category Page | Mattresses' Product Cards Order,[0] Original,mobile,Mattress,Emma Elite 27 AirGrid+ Matratze - Emma Elite Matratze,0001-VPMX4V,1,1,1,1390,1390,1112,819
[1485180] DE #35 | Category Page | Mattresses' Product Cards Order,[0] Original,desktop,Mattress,Emma Elite 27 AirGrid+ Matratze - Emma Elite Matratze,0001-VU5846,1,1,1,1390,1390,1122,863
[1485180] DE #35 | Category Page | Mattresses' Product Cards Order,[0] Original,mobile,Mattress,Emma Elite 27 AirGrid+ Matratze - Emma Elite Matratze,0001-J7PULM,1,1,1,1390,1390,1121,855
[1485180] DE #35 | Category Page | Mattresses' Product Cards Order,[0] Original,mobile,Mattress,Emma Elite 27 AirGrid+ Matratze - Emma Elite Matratze,0001-NALVZ6,1,1,1,1390,1390,1105,832
[1485180] DE #35 | Category Page | Mattresses' Product Cards Order,[0] Original,mobile,Mattress,Emma Elite 27 AirGrid+ Matratze - Emma Elite Matratze,0001-YCNNCQ,1,1,1,1390,1390,1106,840
[1485180] DE #35 | Category Page | Mattresses' Product Cards Order,[0] Original,mobile,Mattress,Emma Elite 27 AirGrid+ Matratze - Emma Elite Matratze,0001-D8C5SU,1,1,1,1390,1390,1108,835
[1485180] DE #35 | Category Page | Mattresses' Product Cards Order,[0] Original,desktop,Mattress,Emma Elite 27 AirGrid+ Matratze - Emma Elite Matratze,0001-PXWEUZ,1,1,1,1390,1390,1114,821
[1485180] DE #35 | Category Page | Mattresses' Product Cards Order,[0] Original,desktop,Mattress,Emma Elite 27 AirGrid+ Matratze - Emma Elite Matratze,0001-WWLX9Q,1,1,1,1390,1390,1120,849
